Date,Adj Close,Close,High,Low,Open,Volume
13/06/2022,3689.78,4080.0,4100.0,3930.0,3950.0,156.054.900
14/06/2022,3716.91,4110.0,4120.0,4020.0,4050.0,117.325.600
15/06/2022,3671.69,4060.0,4080.0,4030.0,4060.0,94.848.800
16/06/2022,3653.61,4040.0,4120.0,4030.0,4120.0,96.042.200
17/06/2022,3725.96,4120.0,4120.0,3980.0,4010.0,169.375.800
20/06/2022,3653.61,4040.0,4060.0,4000.0,4050.0,82.101.200
21/06/2022,3716.91,4110.0,4120.0,4030.0,4060.0,77.489.000
22/06/2022,3662.65,4050.0,4090.0,4040.0,4090.0,60.907.800
23/06/2022,3762.13,4160.0,4160.0,4030.0,4030.0,101.065.400
24/06/2022,3753.09,4150.0,4230.0,4100.0,4230.0,81.050.700
27/06/2022,3680.74,4070.0,4120.0,4040.0,4110.0,71.574.300
28/06/2022,3644.56,4030.0,4050.0,4000.0,4010.0,128.618.800
29/06/2022,3653.61,4040.0,4080.0,4000.0,4000.0,72.888.100
30/06/2022,3617.43,4000.0,4110.0,4000.0,4110.0,116.718.900
01/07/2022,3635.52,4020.0,4040.0,4000.0,4010.0,39.572.500
04/07/2022,3608.39,3990.0,4040.0,3840.0,4020.0,115.885.200
05/07/2022,3608.39,3990.0,4070.0,3950.0,4010.0,72.329.600
06/07/2022,3635.52,4020.0,4050.0,3970.0,4050.0,62.679.000
07/07/2022,3653.61,4040.0,4050.0,4010.0,4040.0,42.393.800
08/07/2022,3626.48,4010.0,4060.0,4000.0,4050.0,64.049.000
11/07/2022,3653.61,4040.0,4100.0,4000.0,4100.0,42.258.000
12/07/2022,3626.48,4010.0,4060.0,4010.0,4060.0,43.399.800
13/07/2022,3563.17,3940.0,4030.0,3930.0,4010.0,96.218.200
14/07/2022,3635.52,4020.0,4020.0,3900.0,3940.0,68.708.500
15/07/2022,3753.09,4150.0,4210.0,4010.0,4040.0,146.093.800
18/07/2022,3789.26,4190.0,4190.0,4070.0,4110.0,84.009.400
19/07/2022,3762.13,4160.0,4190.0,4130.0,4190.0,91.367.900
20/07/2022,3807.35,4210.0,4220.0,4140.0,4140.0,82.344.000
21/07/2022,3852.57,4260.0,4260.0,4180.0,4210.0,107.234.600
22/07/2022,3825.44,4230.0,4240.0,4190.0,4240.0,59.792.300
25/07/2022,3834.48,4240.0,4260.0,4220.0,4240.0,37.218.000
26/07/2022,3843.52,4250.0,4250.0,4190.0,4240.0,49.786.900
27/07/2022,3888.74,4300.0,4300.0,4210.0,4230.0,60.672.300
28/07/2022,3834.48,4240.0,4320.0,4190.0,4310.0,110.767.300
29/07/2022,3825.44,4230.0,4300.0,4210.0,4280.0,108.823.600
01/08/2022,3888.74,4300.0,4300.0,4230.0,4230.0,104.724.300
02/08/2022,4024.39,4450.0,4450.0,4250.0,4350.0,112.228.800
03/08/2022,4069.61,4500.0,4590.0,4410.0,4450.0,251.825.000
04/08/2022,4114.83,4550.0,4550.0,4450.0,4450.0,186.881.500
05/08/2022,4205.27,4650.0,4650.0,4530.0,4590.0,268.967.200
08/08/2022,4250.48,4700.0,4700.0,4650.0,4700.0,191.023.500
09/08/2022,4196.22,4640.0,4700.0,4630.0,4700.0,164.453.900
10/08/2022,4123.87,4560.0,4590.0,4490.0,4530.0,162.061.400
11/08/2022,4132.92,4570.0,4610.0,4520.0,4550.0,123.629.000
12/08/2022,4114.83,4550.0,4600.0,4530.0,4570.0,124.552.500
15/08/2022,4024.39,4450.0,4570.0,4440.0,4540.0,136.882.800
16/08/2022,3988.22,4410.0,4580.0,4410.0,4530.0,127.710.800
18/08/2022,4114.83,4550.0,4550.0,4350.0,4360.0,182.044.300
19/08/2022,4160.05,4600.0,4610.0,4460.0,4560.0,177.623.900
22/08/2022,4205.27,4650.0,4660.0,4530.0,4550.0,202.320.400
23/08/2022,4214.31,4660.0,4710.0,4610.0,4680.0,229.431.400
24/08/2022,4295.7,4750.0,4770.0,4600.0,4660.0,189.007.900
25/08/2022,4132.92,4570.0,4700.0,4560.0,4680.0,179.495.700
26/08/2022,4060.57,4490.0,4540.0,4480.0,4510.0,184.317.100
29/08/2022,4087.7,4520.0,4550.0,4360.0,4370.0,101.529.800
30/08/2022,4051.52,4480.0,4620.0,4480.0,4580.0,118.884.300
31/08/2022,4123.87,4560.0,4600.0,4420.0,4420.0,175.300.400
01/09/2022,4141.96,4580.0,4650.0,4530.0,4560.0,120.871.700
02/09/2022,4160.05,4600.0,4620.0,4540.0,4540.0,106.985.000
05/09/2022,4178.13,4620.0,4630.0,4550.0,4560.0,77.323.800
06/09/2022,4078.66,4510.0,4620.0,4510.0,4610.0,61.970.100
07/09/2022,4060.57,4490.0,4560.0,4480.0,4500.0,106.145.700
08/09/2022,4123.87,4560.0,4640.0,4500.0,4500.0,123.389.200
09/09/2022,4160.05,4600.0,4600.0,4530.0,4550.0,50.307.800
12/09/2022,4105.79,4540.0,4600.0,4530.0,4600.0,74.820.600
